Chambre;Taille lit;Ref drap plat;Liseret drap plat;Dimension drap plat;Ref housse couette;Liseret housse couette;Dimension housse couette
1;90 (Twin x2 lits);;;;;;
2;160 (Triple);;;;;;
2;90 (Triple);;;;;;
3;140;;;;;;
4;160 (Triple);;;;;;
4;90 (Triple);;;;;;
5;140;;;;;;
6;? (a confirmer);;;;;;
8;160 (Triple);;;;;;
8;90 (Triple);;;;;;
9;90 (Twin x2 lits);;;;;;
10;140;;;;;;
11;140;;;;;;
12;160;;;;;;
14;140;;;;;;
15;140;;;;;;
16;90 (Twin Deluxe x2 lits);;;;;;
17;160 (Deluxe);;;;;;
18;160 (Deluxe);;;;;;
19;160 (Deluxe);;;;;;
20;160 (Deluxe);;;;;;
21;90 (Twin Deluxe x2 lits);;;;;;
