date;code;quantite
2026-09-14;1341;30
2026-09-14;2941;40
2026-09-14;11143;20
2026-09-14;41113;30
2026-09-14;32830;0
2026-09-14;41115;0
2026-09-14;43128;0
2026-09-14;517;40
2026-09-14;2941;44
2026-09-14;41113;3
2026-09-14;41115;7
2026-09-14;1341;55
2026-09-14;43128;27
2026-09-14;517;68
2026-09-14;8787;22
2026-09-14;8785;76
2026-09-14;8786;13
2026-09-20;1341;0
2026-09-20;2941;0
2026-09-20;11143;0
2026-09-20;41113;0
2026-09-20;32830;0
2026-09-20;41115;0
2026-09-20;43128;0
2026-09-20;517;0
2026-09-20;8786;0
2026-09-20;8785;0
2026-09-20;8787;0
2026-09-28;1341;20
2026-09-28;2941;46
2026-09-28;11143;20
2026-09-28;41113;20
2026-09-28;32830;46
2026-09-28;41115;20
2026-09-28;43128;110
2026-09-28;517;110
2026-09-28;8786;80
2026-09-28;8785;80
2026-09-28;8787;66
2026-09-25;1341;20
2026-09-25;2941;20
2026-09-25;11143;20
2026-09-25;41113;20
2026-09-25;32830;20
2026-09-25;41115;20
2026-09-25;43128;38
2026-09-25;517;38
2026-09-25;8786;27
2026-09-25;8785;27
2026-09-25;8787;24
